episode,timestep,reward
40,800,19.55
71,1600,26.0645
101,2400,26.1
132,3200,26.6452
148,4000,44.9375
168,4800,43.7
178,5600,71.4
190,6400,72.3333
199,7200,85.7778
206,8000,109.5714
211,8800,147.0
216,9600,136.0
221,10400,196.8
224,11200,258.6667
229,12000,174.2
235,12800,137.1667
239,13600,191.0
243,14400,175.5
248,15200,178.6
253,16000,158.8
257,16800,192.75
260,17600,231.0
263,18400,270.6667
266,19200,254.0
269,20000,254.6667
272,20800,312.6667
275,21600,289.3333
277,22400,239.0
281,23200,287.0
283,24000,303.5
285,24800,339.0
289,25600,272.5
291,26400,387.5
293,27200,336.0
295,28000,354.5
297,28800,398.5
299,29600,381.5
302,30400,362.3333
304,31200,324.0
307,32000,334.6667
309,32800,350.0
312,33600,286.3333
314,34400,400.0
316,35200,334.0
318,36000,389.0
320,36800,346.0
323,37600,366.6667
325,38400,395.5
327,39200,400.0
329,40000,373.5
331,40800,389.0
333,41600,400.0
335,42400,400.0
337,43200,400.0
339,44000,369.0
341,44800,400.0
343,45600,400.0
345,46400,400.0
347,47200,400.0
349,48000,400.0
351,48800,400.0
353,49600,400.0
355,50400,400.0
357,51200,400.0
359,52000,400.0
361,52800,400.0
363,53600,400.0
365,54400,400.0
367,55200,400.0
369,56000,309.5
371,56800,400.0
373,57600,400.0
375,58400,400.0
377,59200,400.0
379,60000,400.0
381,60800,400.0
384,61600,358.3333
386,62400,367.5
388,63200,338.0
391,64000,320.6667
393,64800,400.0
395,65600,373.5
397,66400,400.0
399,67200,400.0
401,68000,341.5
403,68800,400.0
405,69600,400.0
407,70400,392.0
409,71200,400.0
411,72000,400.0
413,72800,400.0
415,73600,400.0
417,74400,400.0
419,75200,400.0
421,76000,400.0
423,76800,400.0
425,77600,400.0
427,78400,400.0
429,79200,400.0
431,80000,400.0
434,80800,305.3333
436,81600,400.0
438,82400,400.0
440,83200,400.0
442,84000,400.0
444,84800,400.0
446,85600,300.5
448,86400,400.0
450,87200,400.0
453,88000,353.3333
455,88800,400.0
457,89600,400.0
459,90400,373.5
461,91200,327.0
465,92000,264.0
467,92800,305.5
469,93600,368.0
471,94400,395.0
474,95200,353.0
476,96000,400.0
478,96800,379.5
480,97600,279.0
482,98400,373.0
484,99200,400.0
487,100000,322.0
