episode,timestep,reward
2,2000,-36.6287
4,4000,-36.0116
6,6000,-36.6739
8,8000,-36.7478
10,10000,-36.4748
12,12000,-36.7789
14,14000,-36.5327
16,16000,-34.6677
18,18000,-34.4241
20,20000,-34.5962
22,22000,-35.4602
24,24000,-34.6221
26,26000,-35.4638
28,28000,-36.3073
30,30000,-34.6029
32,32000,15.5321
34,34000,-39.6401
36,36000,-36.456
38,38000,-34.6184
40,40000,-35.693
42,42000,-35.703
44,44000,-36.0679
46,46000,-36.9657
48,48000,-38.23
50,50000,-35.7856
52,52000,-36.3427
54,54000,-36.697
56,56000,-36.2098
58,58000,-35.6443
60,60000,-35.8503
62,62000,-34.7983
64,64000,-36.4747
66,66000,-38.0231
68,68000,-35.9446
70,70000,-35.8264
72,72000,-38.4396
74,74000,-35.8213
76,76000,-36.4659
78,78000,-36.2964
80,80000,-36.9329
82,82000,-34.068
84,84000,-35.9572
86,86000,-35.6044
88,88000,-34.3678
90,90000,-35.6261
92,92000,-34.1083
94,94000,-36.7945
96,96000,-34.6247
98,98000,-36.586
100,100000,-37.0337
102,102000,-37.7136
104,104000,-36.9732
106,106000,-36.2847
108,108000,-36.719
110,110000,-35.9529
112,112000,-38.0531
114,114000,-37.852
116,116000,-37.6287
118,118000,-36.8841
120,120000,-37.9861
122,122000,-36.1188
124,124000,-37.5682
126,126000,-34.5833
128,128000,-35.6944
130,130000,-36.9242
132,132000,-35.0567
134,134000,-37.0306
136,136000,-36.7197
138,138000,16.3352
140,140000,-36.0821
142,142000,13.103
144,144000,-36.4283
146,146000,-38.8722
149,148000,73.7098
152,150000,72.4013
154,152000,12.3518
157,154000,77.2334
160,156000,70.7143
164,158000,79.9916
167,160000,73.7526
171,162000,79.0822
174,164000,80.3507
179,166000,84.0291
184,168000,82.4232
189,170000,82.6683
194,172000,84.319
198,174000,79.0468
203,176000,82.5475
209,178000,84.4296
213,180000,79.5595
218,182000,82.7481
224,184000,85.3516
229,186000,80.8847
234,188000,83.4371
241,190000,84.812
249,192000,86.5749
256,194000,85.0628
263,196000,83.8848
270,198000,84.7599
278,200000,85.4435
286,202000,85.5338
296,204000,86.3955
306,206000,86.5005
316,208000,84.7439
326,210000,85.485
336,212000,86.0067
347,214000,86.7023
359,216000,87.7672
369,218000,85.6019
382,220000,87.6237
394,222000,86.0136
406,224000,87.5942
419,226000,87.5707
432,228000,87.6522
446,230000,87.3567
460,232000,88.1758
473,234000,87.3896
486,236000,86.847
501,238000,88.079
516,240000,87.0622
529,242000,86.1207
544,244000,87.3858
561,246000,88.273
575,248000,86.9328
591,250000,87.7456
604,252000,87.1908
620,254000,88.0406
635,256000,88.2639
650,258000,87.9425
666,260000,88.9405
682,262000,88.3898
698,264000,89.0644
714,266000,87.8931
730,268000,87.7364
746,270000,87.4916
762,272000,88.6193
779,274000,88.2806
796,276000,88.2362
813,278000,88.5104
831,280000,88.1918
849,282000,88.6972
866,284000,88.3023
883,286000,88.0457
900,288000,88.4091
920,290000,89.3824
938,292000,88.425
955,294000,87.4936
972,296000,88.5553
991,298000,88.148
1010,300000,88.8534
1029,302000,88.5662
1048,304000,88.4325
1068,306000,88.9973
1088,308000,89.1521
1106,310000,87.7746
1125,312000,88.3918
1145,314000,88.9074
1164,316000,88.2104
1184,318000,89.104
1204,320000,89.55
1224,322000,89.7146
1244,324000,88.9254
1264,326000,87.7515
1284,328000,88.6433
1304,330000,88.9539
1325,332000,89.235
1347,334000,89.4249
1366,336000,88.4866
1386,338000,88.6926
1405,340000,88.3425
1425,342000,88.888
1444,344000,88.5295
1463,346000,87.8818
1482,348000,88.4927
1502,350000,88.4707
1522,352000,88.3565
1542,354000,89.2434
1563,356000,89.4032
1585,358000,89.408
1606,360000,89.294
1626,362000,88.9718
1646,364000,88.296
1667,366000,89.217
1687,368000,89.0164
1707,370000,88.8411
1727,372000,88.2558
1748,374000,88.7296
1770,376000,89.6812
1791,378000,88.9103
1811,380000,88.6134
1830,382000,88.0958
1850,384000,88.8397
1869,386000,88.1184
1890,388000,89.1665
1912,390000,88.8945
1932,392000,88.8401
1953,394000,88.6495
1972,396000,87.9801
1994,398000,89.3382
2015,400000,89.0004
2036,402000,88.7446
2056,404000,88.6592
2078,406000,89.0427
2099,408000,89.011
2119,410000,88.755
2139,412000,88.8019
2160,414000,88.1428
2182,416000,89.6625
2204,418000,88.84
2227,420000,89.329
2248,422000,89.2239
2270,424000,89.1634
2290,426000,88.0921
2312,428000,89.1934
2336,430000,89.5666
2358,432000,89.1495
2381,434000,89.811
2404,436000,89.5087
2427,438000,89.9011
2448,440000,88.7913
2470,442000,89.2597
2490,444000,88.4367
2512,446000,89.3858
2533,448000,87.9141
2557,450000,89.8081
2580,452000,89.7178
2601,454000,88.3676
2624,456000,89.2014
2647,458000,89.7913
2669,460000,89.2225
2690,462000,87.9129
2712,464000,89.8869
2734,466000,88.4029
2758,468000,89.6762
2780,470000,88.9353
2803,472000,89.4694
2825,474000,89.4934
2849,476000,89.776
2871,478000,88.4268
2893,480000,88.8485
2916,482000,88.9743
2936,484000,87.9173
2959,486000,89.4434
2981,488000,88.919
3003,490000,87.5132
3026,492000,89.4181
3048,494000,89.2557
3071,496000,89.0753
3092,498000,87.959
3115,500000,89.2957
3138,502000,89.7459
3161,504000,89.8815
3185,506000,89.5864
3210,508000,90.3229
3233,510000,89.7848
3258,512000,90.1362
3280,514000,89.3465
3304,516000,89.4306
3327,518000,89.6947
3351,520000,90.3793
3376,522000,90.3179
3400,524000,90.0724
3423,526000,89.6561
3445,528000,89.59
3469,530000,89.7799
3493,532000,89.8604
3516,534000,89.364
3540,536000,89.9804
3564,538000,90.1382
3589,540000,90.5193
3614,542000,90.3803
3639,544000,90.1448
3662,546000,89.553
3684,548000,89.5852
3707,550000,89.2126
3732,552000,90.231
3756,554000,89.5481
3778,556000,89.7687
3802,558000,89.8472
3826,560000,90.2407
3850,562000,89.3843
3871,564000,89.0633
3895,566000,89.9069
3918,568000,88.7927
3941,570000,89.6236
3963,572000,89.2803
3988,574000,90.0649
4012,576000,89.6823
4035,578000,89.9222
4058,580000,89.5732
4081,582000,89.3095
4105,584000,89.9041
4130,586000,89.9817
4153,588000,89.383
4177,590000,89.8848
4199,592000,89.2085
4224,594000,90.39
4248,596000,89.9218
4270,598000,89.0999
4295,600000,90.3187
4320,602000,90.2425
4342,604000,89.5177
4366,606000,89.6874
4391,608000,90.0795
4414,610000,89.3565
4437,612000,89.8448
4461,614000,90.1093
4486,616000,90.3548
4511,618000,90.3907
4535,620000,89.8844
4559,622000,90.3482
4584,624000,90.12
4606,626000,88.8472
4631,628000,90.4052
4654,630000,89.5352
4679,632000,90.0137
4701,634000,89.3226
4725,636000,89.7671
4749,638000,90.1088
4771,640000,89.8924
4797,642000,90.4553
4822,644000,90.5685
4844,646000,88.8069
4867,648000,89.9087
4890,650000,89.956
4914,652000,89.5608
4937,654000,89.5125
4959,656000,89.2312
4984,658000,90.3809
5008,660000,89.922
5031,662000,89.5
5053,664000,88.8752
5076,666000,88.9485
5100,668000,89.9023
5126,670000,90.2787
5151,672000,90.3244
5174,674000,89.1324
5198,676000,90.1822
5223,678000,90.1185
5247,680000,89.8456
5271,682000,89.9419
5295,684000,89.9542
5319,686000,90.0596
5342,688000,89.8875
5365,690000,89.1952
5390,692000,90.0695
5415,694000,90.0939
5439,696000,90.0426
5464,698000,90.2187
5489,700000,90.3511
5514,702000,90.0438
5536,704000,89.2874
5561,706000,89.8104
5584,708000,89.7163
5608,710000,89.8471
5632,712000,89.5981
5658,714000,90.4305
5681,716000,89.6266
5706,718000,90.4037
5729,720000,89.5172
5753,722000,89.3791
5774,724000,89.1808
5800,726000,90.0493
5825,728000,90.4736
5849,730000,89.6325
5870,732000,89.3167
5895,734000,90.5488
5920,736000,90.0877
5946,738000,90.572
5970,740000,90.1383
5994,742000,90.1429
6019,744000,90.2124
6043,746000,90.1886
6068,748000,90.7284
6093,750000,90.1288
6118,752000,90.8888
6144,754000,90.9004
6169,756000,90.8541
6194,758000,90.8147
6219,760000,90.5574
6244,762000,90.5411
6269,764000,90.4976
6293,766000,90.3639
6319,768000,91.0803
6342,770000,90.1423
6364,772000,89.6247
6387,774000,90.3729
6413,776000,91.0144
6437,778000,90.1837
6463,780000,90.6631
6489,782000,90.8374
6515,784000,91.0108
6538,786000,90.2981
6563,788000,90.6175
6587,790000,90.4348
6612,792000,90.9113
6636,794000,90.2996
6662,796000,90.8367
6688,798000,91.0946
6713,800000,90.8289
6739,802000,90.8278
6763,804000,90.8213
6785,806000,89.6148
6809,808000,90.3155
6835,810000,91.0096
6860,812000,90.9661
6884,814000,90.5204
6908,816000,90.3659
6934,818000,91.0519
6960,820000,90.7549
6985,822000,91.0288
7010,824000,90.6667
7035,826000,90.9719
7060,828000,90.9925
7084,830000,90.2128
7108,832000,90.2046
7134,834000,90.5987
7157,836000,89.969
7182,838000,90.6821
7207,840000,90.5683
7232,842000,90.938
7258,844000,90.8581
7285,846000,91.271
7309,848000,90.8808
7334,850000,90.3826
7360,852000,90.8562
7386,854000,90.8393
7412,856000,90.6327
7437,858000,90.6721
7463,860000,90.9844
7489,862000,90.936
7514,864000,91.1122
7540,866000,90.7146
7565,868000,90.4838
7591,870000,90.9331
7616,872000,90.9432
7642,874000,90.4994
7667,876000,90.6698
7694,878000,90.9158
7716,880000,89.827
7742,882000,90.9157
7766,884000,90.6387
7792,886000,90.9615
7816,888000,90.0014
7840,890000,90.4325
7865,892000,90.7221
7890,894000,90.6392
7915,896000,90.8626
7941,898000,90.8891
7967,900000,90.9792
7993,902000,90.9218
8018,904000,90.8961
8044,906000,90.7271
8070,908000,91.1583
8095,910000,90.8252
8119,912000,90.6288
8143,914000,90.2542
8169,916000,91.1535
8194,918000,90.7768
8220,920000,90.7085
8246,922000,91.0385
8272,924000,90.9588
8296,926000,90.4678
8322,928000,90.991
8348,930000,90.8103
8372,932000,90.4431
8399,934000,90.9303
8423,936000,90.3128
8447,938000,90.533
8473,940000,90.8104
8498,942000,90.7339
8523,944000,91.0297
8549,946000,90.9731
8575,948000,90.8873
8600,950000,90.9002
8623,952000,90.4205
8649,954000,90.948
8674,956000,90.6818
8698,958000,90.8493
8724,960000,91.067
8749,962000,90.4789
8774,964000,90.9987
8798,966000,90.0666
8823,968000,90.5257
8848,970000,90.7888
8873,972000,90.6937
8899,974000,91.0429
8923,976000,90.688
8947,978000,90.5362
8972,980000,90.6152
8998,982000,91.1286
9023,984000,90.5502
9048,986000,91.0698
9074,988000,91.0973
9100,990000,91.0244
9126,992000,90.9105
9151,994000,90.8324
9177,996000,90.963
9203,998000,90.8466
9228,1000000,90.655
9254,1002000,91.198
9280,1004000,91.5436
9306,1006000,91.571
9333,1008000,91.4526
9359,1010000,91.406
9386,1012000,91.6464
9412,1014000,91.1839
9438,1016000,91.3412
9464,1018000,91.4782
9489,1020000,91.4638
9516,1022000,91.3546
9542,1024000,91.5556
9568,1026000,91.5785
9594,1028000,91.2527
9620,1030000,91.187
9647,1032000,91.346
9673,1034000,91.3194
9699,1036000,91.5315
9725,1038000,91.3787
9752,1040000,91.5112
9778,1042000,91.3466
9804,1044000,91.2863
9831,1046000,91.4522
9857,1048000,91.4623
9883,1050000,91.2901
9909,1052000,91.4618
9935,1054000,91.4308
9962,1056000,91.1824
9987,1058000,91.3025
10014,1060000,91.419
10040,1062000,91.4771
10066,1064000,91.4844
10092,1066000,91.6306
10119,1068000,91.5492
10145,1070000,91.6818
10171,1072000,91.3694
10197,1074000,91.6417
10222,1076000,91.0935
10248,1078000,91.4921
10275,1080000,91.4928
10301,1082000,91.3451
10327,1084000,91.3775
10353,1086000,91.6093
